Country,CountryID
Mexico,1
Australia,2
Iran,3
Brazil,4
Ivory Coast,5
Spain,6
Uruguay,7
Bosnia & Herzegovina,8
Netherlands,9
Argentina,10
Algeria,11
Germany,12
Japan,13
Cameroon,14
Switzerland,15
Nigeria,16
England,17
Chile,18
Ghana,19
USA,20
Croatia,21
Honduras,22
Portugal,23
Columbia,24
Italy,25
South Korea,26
Greece,27
Ecuador,28
Russia,29
France,30
Belgium,31
Costa Rica,32
Turkey,33
Sweden,34
United Arab Emirates,35
Ukraine,36
China,37
Kuwait,38
Qatar,39
Norway,40
Saudi Arabia,41
Canada,42
Tunisia,43
Scotland,44
Denmark,45
Israel,46
South Africa,47
Bulgaria,48
Austria,49
Hungary,50
Paraguay,51
