PlayerID,Name,Position,Number,D.O.B,Age,Height (cm)
336722,Alan Pulido,Forward,11,1991-03-08,23,176
368902,Adam Taggart,Forward,9,1993-06-02,21,172
362641,Reza Ghoochannejad,Forward,16,1987-09-20,26,181
314197,Neymar,Forward,10,1992-02-05,22,175
212306,Didier Drogba,Forward,11,1978-03-11,36,180
229884,David Villa,Forward,7,1981-12-03,32,175
305372,Abel Hernandez,Forward,8,1990-08-08,23,186
228599,Javier Hernandez,Forward,14,1988-06-01,26,175
300409,Edin Dzeko,Forward,11,1986-03-17,28,192
184615,Klaas Jan Huntelaar,Forward,19,1983-08-12,30,187
271550,Gonzalo Higuain,Forward,9,1987-12-10,26,184
227851,Oribe Peralta,Forward,19,1984-01-12,30,177
354859,Islam Slimani,Forward,13,1988-06-18,26,188
182206,Miroslav Klose,Forward,11,1978-06-09,36,182
217315,Robin Van Persie,Forward,9,1983-08-06,30,186
286278,Shinji Okazaki,Forward,9,1986-04-16,28,174
270775,Luis Suarez,Forward,9,1987-01-24,27,181
233952,Fred,Forward,9,1983-10-03,30,186
312316,Eric Choupo Moting,Forward,13,1989-03-23,25,190
356411,Fabian Schaer,Defender,22,1991-12-20,22,186
338673,Uche Nwofor,Forward,19,1991-09-17,22,177
373224,Rickie Lambert,Forward,18,1982-02-16,32,188
379894,Miiko Albornoz,Defender,3,1990-11-30,23,180
208353,Asamoah Gyan,Forward,3,1985-11-22,28,186
296994,El Arabi Soudani,Forward,15,1987-11-25,26,177
339508,Chris Wondolowski,Forward,18,1983-01-28,31,182
213001,Tim Cahill,Forward,4,1979-12-06,34,180
214384,Eduardo_1,Forward,22,1983-02-25,31,177
170667,Samuel Etoo,Forward,9,1981-03-10,33,181
271414,Carlo Costly,Forward,13,1982-07-18,31,190
275096,Yoichiro Kakitani,Forward,11,1990-01-03,24,177
270301,Eduardo Vargas,Forward,11,1989-11-20,24,175
201200,Cristiano Ronaldo,Forward,7,1985-02-05,29,185
323623,Jerry Bengtson,Forward,11,1987-04-08,27,187
229397,Lionel Messi,Forward,10,1987-06-24,26,169
235097,Mubarak Wakaso,Midfielder,22,1990-07-25,23,171
356399,Josip Drmic,Forward,19,1992-08-08,21,182
196842,Wayne Rooney,Forward,10,1985-10-24,28,176
228528,Sergio Aguero,Forward,20,1988-06-02,26,172
309716,Teofilo Gutierrez,Forward,9,1985-05-17,29,180
301059,Mario Balotelli,Forward,9,1990-08-12,23,189
364763,Emmanuel Emenike,Forward,9,1987-05-10,27,182
196789,Lukas Podolski,Forward,10,1985-06-04,29,180
187203,Helder Postiga,Forward,23,1982-08-02,31,182
367261,Nabil Ghilas,Forward,9,1990-04-20,24,183
207761,Park Chuyoung,Forward,10,1985-07-10,28,183
