PlayerID,CountryID,Played For National Team,Caps,International goals
336722,1,True,5,4
368902,2,True,4,3
362641,3,True,13,9
314197,4,True,48,31
212306,5,True,100,61
229884,6,True,95,56
305372,7,True,12,7
228599,1,True,61,35
300409,8,True,62,35
184615,9,True,61,34
271550,10,True,36,20
227851,1,True,27,15
354859,11,True,19,10
182206,12,True,131,68
217315,9,True,84,43
286278,13,True,75,38
270775,7,True,77,39
233952,4,True,32,16
312316,14,True,26,13
356411,15,True,6,3
338673,16,True,6,3
373224,17,True,4,2
379894,18,True,2,1
208353,19,True,77,38
296994,11,True,21,10
339508,20,True,19,9
213001,2,True,68,32
214384,21,True,62,29
170667,14,True,117,54
271414,22,True,68,31
275096,13,True,11,5
270301,18,True,29,13
201200,23,True,110,49
323623,22,True,43,19
229397,10,True,84,37
235097,19,True,16,7
356399,15,True,7,3
196842,17,True,90,38
228528,10,True,50,21
309716,24,True,29,12
301059,25,True,29,12
364763,16,True,22,9
196789,12,True,113,46
187203,23,True,67,27
367261,11,True,5,2
207761,26,True,62,24
306548,12,True,32,12
275136,13,True,8,3
300411,8,True,55,20
233500,13,True,55,20
274034,17,True,22,8
306532,17,True,11,4
319470,15,True,11,4
318601,6,True,39,14
319311,1,True,14,5
321722,12,True,48,17
214135,14,True,54,19
352394,12,True,20,7
207851,20,True,103,36
353118,5,True,23,8
230517,27,True,71,24
183864,6,True,107,36
216970,5,True,66,22
228627,18,True,66,22
291393,26,True,36,12
298681,9,True,21,7
229506,7,True,9,3
373400,28,True,9,3
186455,16,True,6,2
218306,4,True,6,2
358891,29,True,6,2
306900,16,True,3,1
336435,30,True,3,1
189259,7,True,109,36
267834,7,True,61,20
268596,13,True,56,18
214410,23,True,54,17
305036,12,True,54,17
186808,29,True,80,25
217172,4,True,16,5
358112,31,True,29,9
216071,8,True,81,25
196812,3,True,13,4
228715,28,True,49,15
270144,32,True,23,7
349572,28,True,30,9
312868,4,True,30,9
349512,24,True,10,3
366573,11,True,10,3
184616,9,True,74,22
313832,24,True,27,8
330689,26,True,27,8
238072,20,True,68,20
313874,18,True,34,10
297383,29,True,41,12
297103,30,True,65,19
297839,5,True,24,7
268149,26,True,63,18
274090,16,True,21,6
184291,10,True,53,15
185385,17,True,103,29
307529,32,True,32,9
177927,25,True,36,10
319358,11,True,18,5
267811,6,True,33,9
321653,15,True,33,9
185641,3,True,137,37
215002,9,True,98,26
375518,21,True,49,13
318172,4,True,34,9
183000,19,True,80,21
318768,27,True,31,8
200176,6,True,79,20
290186,5,True,52,13
302539,29,True,32,8
309316,12,True,28,7
307849,26,True,24,6
367393,19,True,12,3
375459,28,True,8,2
367347,20,True,8,2
356403,8,True,8,2
275112,13,True,4,1
319438,9,True,4,1
359235,25,True,4,1
379972,19,True,4,1
369058,21,True,4,1
217313,9,True,98,24
358015,30,True,29,7
358048,29,True,21,5
196752,12,True,101,23
358120,31,True,22,5
330659,3,True,40,9
300235,29,True,18,4
213953,22,True,23,5
356198,17,True,14,3
236530,32,True,61,13
214876,32,True,62,13
299878,30,True,24,5
234551,1,True,73,15
237058,32,True,39,8
290452,28,True,39,8
290903,31,True,44,9
266800,10,True,45,9
362727,4,True,25,5
306954,6,True,25,5
367388,30,True,10,2
359217,25,True,5,1
379886,3,True,5,1
187258,21,True,91,18
248373,30,True,81,16
198106,5,True,82,16
254167,23,True,73,14
214961,17,True,110,21
269058,24,True,21,4
210704,21,True,111,21
216435,29,True,16,3
254166,23,True,22,4
355997,19,True,22,4
178299,2,True,73,13
297705,6,True,63,11
356731,1,True,23,4
215513,27,True,75,13
214228,16,True,60,10
299198,8,True,48,8
358024,27,True,18,3
367913,4,True,12,2
196897,19,True,12,2
371044,1,True,12,2
353235,19,True,12,2
208016,4,True,6,1
316997,10,True,6,1
356407,15,True,6,1
178842,28,True,110,18
290902,31,True,50,8
201787,18,True,25,4
209119,25,True,94,15
175524,19,True,57,9
312672,20,True,19,3
316117,21,True,32,5
311558,15,True,26,4
217117,24,True,13,2
297106,30,True,33,5
267543,18,True,53,8
358108,31,True,20,3
274946,19,True,47,7
175498,20,True,115,17
200179,6,True,88,13
296633,21,True,61,9
212410,26,True,34,5
215623,25,True,34,5
233531,20,True,84,12
233167,8,True,35,5
207906,6,True,7,1
298892,10,True,7,1
354875,11,True,7,1
372989,8,True,7,1
321697,2,True,7,1
367396,14,True,7,1
251352,1,True,101,14
229392,10,True,29,4
207528,6,True,109,15
210214,23,True,73,10
360728,20,True,22,3
209979,15,True,74,10
344714,16,True,37,5
273996,31,True,45,6
218284,4,True,30,4
358736,9,True,15,2
305764,17,True,23,3
210213,23,True,71,9
375523,31,True,79,10
178119,1,True,119,15
183857,6,True,96,12
297331,15,True,24,3
349592,18,True,24,3
296118,14,True,16,2
349517,24,True,8,1
177876,25,True,108,13
353119,5,True,25,3
275162,12,True,43,5
358049,29,True,26,3
305378,7,True,26,3
202544,28,True,70,8
184545,28,True,81,9
216567,7,True,72,8
268414,26,True,54,6
289195,1,True,27,3
321745,26,True,27,3
309714,24,True,27,3
291389,26,True,27,3
274135,30,True,18,2
295153,3,True,9,1
268594,13,True,9,1
369990,22,True,9,1
336837,32,True,9,1
297112,27,True,73,8
241559,21,True,74,8
228336,27,True,65,7
229502,7,True,56,6
359381,21,True,28,3
349574,28,True,19,2
198243,24,True,48,5
290821,31,True,48,5
237949,3,True,77,8
298582,19,True,29,3
213170,3,True,49,5
358011,30,True,20,2
318150,18,True,20,2
290605,2,True,10,1
356669,4,True,10,1
181406,4,True,71,7
227839,22,True,41,4
304934,22,True,41,4
239433,7,True,93,9
300407,8,True,42,4
298959,4,True,42,4
230739,10,True,21,2
209989,15,True,53,5
197514,2,True,43,4
177855,6,True,131,12
300402,8,True,44,4
290800,2,True,22,2
365464,22,True,11,1
311554,15,True,11,1
358692,12,True,11,1
184447,28,True,89,8
180936,13,True,56,5
290825,31,True,56,5
196900,12,True,45,4
268406,26,True,58,5
294620,19,True,47,4
177768,13,True,143,12
218253,1,True,120,10
209502,18,True,60,5
267527,18,True,60,5
296297,22,True,36,3
183882,11,True,24,2
239424,4,True,24,2
358114,31,True,24,2
318034,10,True,24,2
312432,21,True,24,2
323698,14,True,24,2
261029,15,True,73,6
214887,27,True,110,9
190962,4,True,74,6
271182,32,True,50,4
299960,17,True,25,2
200847,24,True,25,2
281252,18,True,25,2
196605,15,True,63,5
216814,6,True,115,9
216874,31,True,26,2
356162,11,True,13,1
